timestamp,bus,can_id,payload
1780709689.833977,vcan0,607,00
1780709689.848858,vcan0,600,00000000
1780709689.848992,vcan0,601,7F000000
1780709689.849068,vcan0,602,00000000
1780709689.864775,vcan0,600,00000000
1780709689.864910,vcan0,601,7F000000
1780709689.864985,vcan0,602,00000000
1780709689.880687,vcan0,600,00000000
1780709689.880816,vcan0,601,7F000000
1780709689.880896,vcan0,602,00000000
1780709689.986827,vcan0,600,00000000
1780709689.986964,vcan0,601,7F000000
1780709689.987073,vcan0,602,00000000
1780709689.987179,vcan0,603,00000000
1780709689.987281,vcan0,604,00
1780709689.987367,vcan0,605,00
1780709689.987439,vcan0,607,00
1780709690.001822,vcan0,600,00000000
1780709690.001955,vcan0,601,7F000000
1780709690.002028,vcan0,602,00000000
1780709690.017722,vcan0,600,00000000
1780709690.017848,vcan0,601,7F000000
1780709690.017923,vcan0,602,00000000
1780709690.033767,vcan0,600,00000000
1780709690.033896,vcan0,601,7F000000
1780709690.033975,vcan0,602,00000000
1780709690.135185,vcan0,600,00000000
1780709690.135797,vcan0,601,7F000000
1780709690.136035,vcan0,602,00000000
1780709690.136140,vcan0,603,00000000
1780709690.136229,vcan0,604,00
1780709690.136324,vcan0,605,00
1780709690.136413,vcan0,607,00
1780709690.149963,vcan0,600,00000000
1780709690.150137,vcan0,601,7F000000
1780709690.150254,vcan0,602,00000000
1780709690.165881,vcan0,600,00000000
1780709690.166054,vcan0,601,7F000000
1780709690.166163,vcan0,602,00000000
1780709690.181742,vcan0,600,00000000
1780709690.181886,vcan0,601,7F000000
1780709690.181990,vcan0,602,00000000
1780709690.292082,vcan0,600,00000000
1780709690.292260,vcan0,601,7F000000
1780709690.293043,vcan0,602,00000000
1780709690.293751,vcan0,603,00000000
1780709690.293867,vcan0,604,00
1780709690.293969,vcan0,605,00
1780709690.294083,vcan0,607,00
1780709690.307782,vcan0,600,00000000
1780709690.307913,vcan0,601,7F000000
1780709690.308001,vcan0,602,00000000
1780709690.323818,vcan0,600,00000000
1780709690.323958,vcan0,601,7F000000
1780709690.324055,vcan0,602,00000000
1780709690.339743,vcan0,600,00000000
1780709690.339888,vcan0,601,7F000000
1780709690.339992,vcan0,602,00000000
1780709690.442986,vcan0,600,00000000
1780709690.443097,vcan0,601,7F000000
