timestamp,bus,can_id,payload
1780710331.101006,vcan0,600,00000000
1780710331.101113,vcan0,601,7F000000
1780710331.101179,vcan0,602,00000000
1780710331.117036,vcan0,600,00000000
1780710331.117169,vcan0,601,7F000000
1780710331.117242,vcan0,602,00000000
1780710331.139272,vcan0,600,00000000
1780710331.139440,vcan0,601,7F000000
1780710331.139575,vcan0,602,00000000
1780710331.139669,vcan0,603,00000000
1780710331.139756,vcan0,604,00
1780710331.139838,vcan0,605,00
1780710331.154866,vcan0,600,00000000
1780710331.155007,vcan0,601,7F000000
1780710331.155103,vcan0,602,00000000
1780710331.155197,vcan0,607,00
1780710331.170991,vcan0,600,00000000
1780710331.171132,vcan0,601,7F000000
1780710331.171215,vcan0,602,00000000
1780710331.200795,vcan0,600,00000000
1780710331.200947,vcan0,601,7F000000
1780710331.201023,vcan0,602,00000000
1780710331.201111,vcan0,603,00000000
1780710331.201202,vcan0,604,00
1780710331.201299,vcan0,605,00
1780710331.216032,vcan0,600,00000000
1780710331.216146,vcan0,601,7F000000
1780710331.216216,vcan0,602,00000000
1780710331.232044,vcan0,600,00000000
1780710331.232168,vcan0,601,7F000000
1780710331.232238,vcan0,602,00000000
1780710331.248041,vcan0,600,00000000
1780710331.248156,vcan0,601,7F000000
1780710331.248231,vcan0,602,00000000
1780710331.273614,vcan0,600,00000000
1780710331.273777,vcan0,601,7F000000
1780710331.273882,vcan0,602,00000000
1780710331.273977,vcan0,603,00000000
1780710331.274063,vcan0,604,00
1780710331.274147,vcan0,605,00
1780710331.274234,vcan0,607,00
1780710331.288984,vcan0,600,00000000
1780710331.289122,vcan0,601,7F000000
1780710331.289232,vcan0,602,00000000
1780710331.304937,vcan0,600,00000000
1780710331.305054,vcan0,601,7F000000
1780710331.305140,vcan0,602,00000000
1780710331.320960,vcan0,600,00000000
1780710331.321078,vcan0,601,7F000000
1780710331.321155,vcan0,602,00000000
1780710331.342437,vcan0,600,00000000
1780710331.342642,vcan0,601,7F000000
1780710331.342756,vcan0,602,00000000
1780710331.342879,vcan0,603,00000000
1780710331.342985,vcan0,604,00
1780710331.343090,vcan0,605,00
1780710331.357824,vcan0,600,00000000
1780710331.357924,vcan0,601,7F000000
1780710331.357992,vcan0,602,00000000
1780710331.373905,vcan0,600,00000000
1780710331.374024,vcan0,601,7F000000
1780710331.374098,vcan0,602,00000000
1780710331.374176,vcan0,607,00
1780710331.402559,vcan0,600,00000000
1780710331.402678,vcan0,601,7F000000
1780710331.402751,vcan0,602,00000000
1780710331.402818,vcan0,603,00000000
1780710331.402884,vcan0,604,00
1780710331.402947,vcan0,605,00
1780710331.418083,vcan0,600,00000000
1780710331.418214,vcan0,601,7F000000
1780710331.418293,vcan0,602,00000000
1780710331.433954,vcan0,600,00000000
1780710331.434071,vcan0,601,7F000000
1780710331.434141,vcan0,602,00000000
1780710331.449886,vcan0,600,00000000
1780710331.449995,vcan0,601,7F000000
1780710331.450065,vcan0,602,00000000
1780710331.472177,vcan0,600,00000000
1780710331.472359,vcan0,601,7F000000
1780710331.472497,vcan0,602,00000000
1780710331.472625,vcan0,603,00000000
1780710331.472750,vcan0,604,00
1780710331.472849,vcan0,605,00
1780710331.487800,vcan0,600,00000000
1780710331.487895,vcan0,601,7F000000
1780710331.487965,vcan0,602,00000000
1780710331.488034,vcan0,607,00
1780710331.503933,vcan0,600,00000000
1780710331.504047,vcan0,601,7F000000
1780710331.504121,vcan0,602,00000000
1780710331.532525,vcan0,600,00000000
1780710331.532654,vcan0,601,7F000000
1780710331.532725,vcan0,602,00000000
1780710331.532794,vcan0,603,00000000
1780710331.532859,vcan0,604,00
1780710331.532923,vcan0,605,00
1780710331.548201,vcan0,600,00000000
1780710331.548358,vcan0,601,7F000000
1780710331.548467,vcan0,602,00000000
1780710331.563934,vcan0,600,00000000
1780710331.564052,vcan0,601,7F000000
1780710331.564126,vcan0,602,00000000
1780710331.579888,vcan0,600,00000000
1780710331.579997,vcan0,601,7F000000
1780710331.580068,vcan0,602,00000000
1780710331.603046,vcan0,600,00000000
1780710331.603277,vcan0,601,7F000000
1780710331.603425,vcan0,602,00000000
1780710331.603569,vcan0,603,00000000
1780710331.603699,vcan0,604,00
1780710331.603786,vcan0,605,00
1780710331.603866,vcan0,607,00
1780710331.617839,vcan0,600,00000000
1780710331.617945,vcan0,601,7F000000
1780710331.618015,vcan0,602,00000000
1780710331.634146,vcan0,600,00000000
1780710331.634269,vcan0,601,7F000000
1780710331.634346,vcan0,602,00000000
1780710331.662610,vcan0,600,00000000
1780710331.662752,vcan0,601,7F000000
1780710331.662827,vcan0,602,00000000
1780710331.662898,vcan0,603,00000000
1780710331.662964,vcan0,604,00
1780710331.663030,vcan0,605,00
1780710331.677985,vcan0,600,00000000
1780710331.678116,vcan0,601,7F000000
1780710331.678190,vcan0,602,00000000
1780710331.693943,vcan0,600,00000000
1780710331.694064,vcan0,601,7F000000
1780710331.694135,vcan0,602,00000000
1780710331.709879,vcan0,600,00000000
1780710331.709992,vcan0,601,7F000000
1780710331.710063,vcan0,602,00000000
1780710331.710138,vcan0,607,00
1780710331.731523,vcan0,600,00000000
1780710331.731717,vcan0,601,7F000000
1780710331.731811,vcan0,602,00000000
1780710331.731890,vcan0,603,00000000
1780710331.732040,vcan0,604,00
1780710331.732161,vcan0,605,00
1780710331.746823,vcan0,600,00000000
1780710331.746942,vcan0,601,7F000000
1780710331.747016,vcan0,602,00000000
1780710331.762957,vcan0,600,00000000
1780710331.763094,vcan0,601,7F000000
1780710331.763173,vcan0,602,00000000
1780710331.792264,vcan0,600,00000000
1780710331.792409,vcan0,601,7F000000
1780710331.792551,vcan0,602,00000000
1780710331.792652,vcan0,603,00000000
1780710331.792750,vcan0,604,00
1780710331.792860,vcan0,605,00
1780710331.807955,vcan0,600,00000000
1780710331.808100,vcan0,601,7F000000
1780710331.808181,vcan0,602,00000000
1780710331.824004,vcan0,600,00000000
1780710331.824139,vcan0,601,7F000000
1780710331.824217,vcan0,602,00000000
1780710331.824294,vcan0,607,00
1780710331.839922,vcan0,600,00000000
1780710331.840052,vcan0,601,7F000000
1780710331.840163,vcan0,602,00000000
1780710331.865645,vcan0,600,00000000
1780710331.865804,vcan0,601,7F000000
1780710331.865891,vcan0,602,00000000
1780710331.865981,vcan0,603,00000000
1780710331.866065,vcan0,604,00
1780710331.866156,vcan0,605,00
1780710331.880857,vcan0,600,00000000
1780710331.880954,vcan0,601,7F000000
1780710331.881023,vcan0,602,00000000
1780710331.896891,vcan0,600,00000000
1780710331.897004,vcan0,601,7F000000
1780710331.897078,vcan0,602,00000000
1780710331.912940,vcan0,600,00000000
1780710331.913054,vcan0,601,7F000000
1780710331.913126,vcan0,602,00000000
1780710331.932124,vcan0,600,00000000
1780710331.932286,vcan0,601,7F000000
1780710331.932372,vcan0,602,00000000
1780710331.932489,vcan0,603,00000000
1780710331.932590,vcan0,604,00
1780710331.932694,vcan0,605,00
1780710331.932809,vcan0,607,00
1780710331.947907,vcan0,600,00000000
1780710331.948027,vcan0,601,7F000000
1780710331.948099,vcan0,602,00000000
1780710331.963951,vcan0,600,00000000
1780710331.964098,vcan0,601,7F000000
1780710331.964187,vcan0,602,00000000
1780710331.992854,vcan0,600,00000000
1780710331.993000,vcan0,601,7F000000
1780710331.993104,vcan0,602,00000000
1780710331.993204,vcan0,603,00000000
1780710331.993313,vcan0,604,00
1780710331.993425,vcan0,605,00
1780710332.008013,vcan0,600,00000000
1780710332.008138,vcan0,601,7F000000
1780710332.008209,vcan0,602,00000000
1780710332.024021,vcan0,600,00000000
1780710332.024154,vcan0,601,7F000000
1780710332.024227,vcan0,602,00000000
1780710332.040990,vcan0,600,00000000
1780710332.041137,vcan0,601,7F000000
1780710332.041242,vcan0,602,00000000
1780710332.041353,vcan0,607,00
1780710332.062915,vcan0,600,00000000
1780710332.063077,vcan0,601,7F000000
1780710332.063163,vcan0,602,00000000
1780710332.063255,vcan0,603,00000000
1780710332.063331,vcan0,604,00
1780710332.063400,vcan0,605,00
1780710332.077823,vcan0,600,00000000
1780710332.077940,vcan0,601,7F000000
1780710332.078010,vcan0,602,00000000
1780710332.093930,vcan0,600,00000000
1780710332.094060,vcan0,601,7F000000
1780710332.094130,vcan0,602,00000000
1780710332.122541,vcan0,600,00000000
1780710332.122673,vcan0,601,7F000000
1780710332.122779,vcan0,602,00000000
1780710332.122880,vcan0,603,00000000
1780710332.122983,vcan0,604,00
1780710332.123096,vcan0,605,00
1780710332.138079,vcan0,600,00000000
1780710332.138252,vcan0,601,7F000000
1780710332.138367,vcan0,602,00000000
1780710332.154007,vcan0,600,00000000
1780710332.154124,vcan0,601,7F000000
1780710332.154199,vcan0,602,00000000
1780710332.154276,vcan0,607,00
1780710332.169899,vcan0,600,00000000
1780710332.170009,vcan0,601,7F000000
1780710332.170079,vcan0,602,00000000
1780710332.193144,vcan0,600,00000000
1780710332.193296,vcan0,601,7F000000
1780710332.193390,vcan0,602,00000000
1780710332.193510,vcan0,603,00000000
1780710332.193604,vcan0,604,00
1780710332.193699,vcan0,605,00
1780710332.208882,vcan0,600,00000000
1780710332.208991,vcan0,601,7F000000
1780710332.209059,vcan0,602,00000000
1780710332.224947,vcan0,600,00000000
1780710332.225080,vcan0,601,7F000000
1780710332.225168,vcan0,602,00000000
1780710332.255888,vcan0,600,00000000
1780710332.256050,vcan0,601,7F000000
1780710332.256172,vcan0,602,00000000
1780710332.256274,vcan0,603,00000000
1780710332.256385,vcan0,604,00
1780710332.256531,vcan0,605,00
1780710332.256656,vcan0,607,00
1780710332.270984,vcan0,600,00000000
1780710332.271123,vcan0,601,7F000000
1780710332.271195,vcan0,602,00000000
1780710332.286965,vcan0,600,00000000
1780710332.287096,vcan0,601,7F000000
1780710332.287170,vcan0,602,00000000
1780710332.302934,vcan0,600,00000000
1780710332.303068,vcan0,601,7F000000
1780710332.303175,vcan0,602,00000000
1780710332.324620,vcan0,600,00000000
1780710332.324786,vcan0,601,7F000000
1780710332.324883,vcan0,602,00000000
1780710332.324975,vcan0,603,00000000
1780710332.325066,vcan0,604,00
1780710332.325155,vcan0,605,00
1780710332.339868,vcan0,600,00000000
1780710332.339992,vcan0,601,7F000000
1780710332.340062,vcan0,602,00000000
1780710332.355892,vcan0,600,00000000
1780710332.356002,vcan0,601,7F000000
1780710332.356072,vcan0,602,00000000
1780710332.356149,vcan0,607,00
1780710332.384063,vcan0,600,00000000
1780710332.384179,vcan0,601,7F000000
1780710332.384251,vcan0,602,00000000
1780710332.384325,vcan0,603,00000000
1780710332.384391,vcan0,604,00
1780710332.384477,vcan0,605,00
1780710332.400168,vcan0,600,00000000
1780710332.400343,vcan0,601,7F000000
1780710332.400471,vcan0,602,00000000
1780710332.416023,vcan0,600,00000000
1780710332.416141,vcan0,601,7F000000
1780710332.416212,vcan0,602,00000000
1780710332.431914,vcan0,600,00000000
1780710332.432025,vcan0,601,7F000000
1780710332.432095,vcan0,602,00000000
1780710332.454506,vcan0,600,00000000
1780710332.454671,vcan0,601,7F000000
1780710332.454780,vcan0,602,00000000
1780710332.454898,vcan0,603,00000000
1780710332.455001,vcan0,604,00
1780710332.455089,vcan0,605,00
1780710332.469985,vcan0,600,00000000
1780710332.470142,vcan0,601,7F000000
1780710332.470246,vcan0,602,00000000
1780710332.470342,vcan0,607,00
1780710332.485882,vcan0,600,00000000
1780710332.485994,vcan0,601,7F000000
1780710332.486062,vcan0,602,00000000
1780710332.501816,vcan0,600,00000000
1780710332.501917,vcan0,601,7F000000
1780710332.501985,vcan0,602,00000000
1780710332.521614,vcan0,600,00000000
1780710332.521787,vcan0,601,7F000000
1780710332.521913,vcan0,602,00000000
1780710332.521992,vcan0,603,00000000
1780710332.522099,vcan0,604,00
1780710332.522209,vcan0,605,00
1780710332.536903,vcan0,600,00000000
1780710332.537049,vcan0,601,7F000000
1780710332.537171,vcan0,602,00000000
1780710332.552951,vcan0,600,00000000
1780710332.553061,vcan0,601,7F000000
1780710332.553141,vcan0,602,00000000
1780710332.568856,vcan0,600,00000000
1780710332.568946,vcan0,601,7F000000
1780710332.569011,vcan0,602,00000000
1780710332.588218,vcan0,600,00000000
1780710332.588392,vcan0,601,7F000000
1780710332.588499,vcan0,602,00000000
1780710332.588576,vcan0,603,00000000
1780710332.588642,vcan0,604,00
1780710332.588706,vcan0,605,00
1780710332.588809,vcan0,607,00
1780710332.603905,vcan0,600,00000000
1780710332.604061,vcan0,601,7F000000
1780710332.604175,vcan0,602,00000000
1780710332.619864,vcan0,600,00000000
1780710332.619981,vcan0,601,7F000000
1780710332.620049,vcan0,602,00000000
1780710332.636043,vcan0,600,00000000
1780710332.636158,vcan0,601,7F000000
1780710332.636228,vcan0,602,00000000
1780710332.657755,vcan0,600,00000000
1780710332.657919,vcan0,601,7F000000
1780710332.658026,vcan0,602,00000000
1780710332.658108,vcan0,603,00000000
1780710332.658184,vcan0,604,00
1780710332.658250,vcan0,605,00
1780710332.673000,vcan0,600,00000000
1780710332.673170,vcan0,601,7F000000
1780710332.673262,vcan0,602,00000000
1780710332.689189,vcan0,600,00000000
1780710332.689305,vcan0,601,7F000000
1780710332.689377,vcan0,602,00000000
1780710332.689461,vcan0,607,00
1780710332.705030,vcan0,600,00000000
1780710332.705137,vcan0,601,7F000000
1780710332.705205,vcan0,602,00000000
1780710332.736387,vcan0,600,00000000
1780710332.736593,vcan0,601,7F000000
1780710332.736704,vcan0,602,00000000
1780710332.736805,vcan0,603,00000000
1780710332.736909,vcan0,604,00
1780710332.737004,vcan0,605,00
1780710332.751985,vcan0,600,00000000
1780710332.752087,vcan0,601,7F000000
1780710332.752154,vcan0,602,00000000
1780710332.768017,vcan0,600,00000000
1780710332.768132,vcan0,601,7F000000
1780710332.768208,vcan0,602,00000000
1780710332.783986,vcan0,600,00000000
1780710332.784094,vcan0,601,7F000000
1780710332.784163,vcan0,602,00000000
1780710332.812668,vcan0,600,00000000
1780710332.812833,vcan0,601,7F000000
1780710332.812939,vcan0,602,00000000
1780710332.813043,vcan0,603,00000000
1780710332.813161,vcan0,604,00
1780710332.813264,vcan0,605,00
1780710332.813361,vcan0,607,00
1780710332.828060,vcan0,600,00000000
1780710332.828211,vcan0,601,7F000000
1780710332.828313,vcan0,602,00000000
1780710332.844022,vcan0,600,00000000
1780710332.844161,vcan0,601,7F000000
1780710332.844231,vcan0,602,00000000
1780710332.860051,vcan0,600,00000000
1780710332.860179,vcan0,601,7F000000
1780710332.860255,vcan0,602,00000000
1780710332.886303,vcan0,600,00000000
1780710332.886474,vcan0,601,7F000000
1780710332.886554,vcan0,602,00000000
1780710332.886642,vcan0,603,00000000
1780710332.886776,vcan0,604,00
1780710332.886872,vcan0,605,00
1780710332.902043,vcan0,600,00000000
1780710332.902166,vcan0,601,7F000000
1780710332.902337,vcan0,602,00000000
1780710332.918056,vcan0,600,00000000
1780710332.918182,vcan0,601,7F000000
1780710332.918253,vcan0,602,00000000
1780710332.918329,vcan0,607,00
1780710332.934001,vcan0,600,00000000
1780710332.934120,vcan0,601,7F000000
1780710332.934193,vcan0,602,00000000
1780710332.959987,vcan0,600,00000000
1780710332.960141,vcan0,601,7F000000
1780710332.960242,vcan0,602,00000000
1780710332.960346,vcan0,603,00000000
1780710332.960476,vcan0,604,00
1780710332.960576,vcan0,605,00
1780710332.974147,vcan0,600,00000000
1780710332.974322,vcan0,601,7F000000
1780710332.974434,vcan0,602,00000000
1780710332.989893,vcan0,600,00000000
1780710332.989998,vcan0,601,7F000000
1780710332.990066,vcan0,602,00000000
1780710333.006081,vcan0,600,00000000
1780710333.006204,vcan0,601,7F000000
1780710333.006276,vcan0,602,00000000
1780710333.037683,vcan0,600,00000000
1780710333.037817,vcan0,601,7F000000
1780710333.037906,vcan0,602,00000000
1780710333.038000,vcan0,603,00000000
1780710333.038102,vcan0,604,00
1780710333.038208,vcan0,605,00
1780710333.038504,vcan0,607,00
1780710333.053462,vcan0,600,00000000
1780710333.053615,vcan0,601,7F000000
1780710333.053697,vcan0,602,00000000
1780710333.069029,vcan0,600,00000000
1780710333.069168,vcan0,601,7F000000
1780710333.069391,vcan0,602,00000000
1780710333.084938,vcan0,600,00000000
1780710333.085076,vcan0,601,7F000000
1780710333.085176,vcan0,602,00000000
1780710333.112016,vcan0,600,00000000
1780710333.112174,vcan0,601,7F000000
1780710333.112273,vcan0,602,00000000
